ID,Year,LapillusAge,SagittaAge
353201,2014,114,122
2662,2016,155,160
352980,2014,112,116
353189,2014,144,148
2691,2016,119,122
2809,2016,123,125
353022,2014,116,117
2560,2016,120,121
352984,2014,123,123
352986,2014,113,113
353006,2014,125,125
353202,2014,122,122
353367,2014,121,121
2654,2016,119,119
2854,2016,105,105
28919,2016,152,151
353026,2014,129,127
2592,2016,132,130
352999,2014,121,118
353301,2014,126,123
353296,2014,136,132
353180,2014,130,122
